TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Category�,ISBN
412934,What Your Doctor Doesn't Know About Nutrituion Medicine May be Killing You,Ray D Strand,English,B01028111,2,Health & Fitness,#N/A
394177,A Woodland Wedding (Owl Diaries #3) Branches,Rebecca Elliott,English,B0982961,0,Kids,#N/A
363519,Owl Diaries - Eva's Treetop Festival (Branches),Rebecca Elliott ,English,B0970936,1,Kids,#N/A
368954,Peppa Goes on Holiday,Rebecca Gerlings,English,B0970517,8,Kids,#N/A
368947,Peppa Pig: Shapes,Rebecca Gerlings,English,B0970537,2,Kids,#N/A
367139,Money Smart: The Indian Woman's Guide to Managing Wealth,Reenita Malhotra Divya Vij ,English,B0973563,3,Management,#N/A
202543,THE FIVE GREATEST WARRIORS,"Reilly, Matthew",English,B0973044,0,Fiction,#N/A
343508,Dork Diaries OMG ! : All About Me Diary,"Renee Russell, Rachel",English,B0970909,2,Pre Teen,#N/A
194450,"POWER, THE (UK)",Rhonda Byrne,English,B0973325,3,Spritual,#N/A
290254,The Magic,Rhonda Byrne,English,B0973840,7,Spritual,#N/A
194451,THE SECRET,Rhonda Byrne,English,B0970912,8,Spritual,#N/A
343697,The Secret - Daily Teachings,Rhonda Byrne,English,B01018188,2,Spritual,#N/A
450840,Magnus Chase and the Ship of the Dead,Rich Riordan,English,B01085848,2,Teen,#N/A
366205,The God Delusion,Richard Dawkins ,English,B0971519,0,Spritual,#N/A
383500,Best Lowly Worm Book Ever,Richard Scarry,English,B0972177,2,Kids,#N/A
376004,Richard Scarry's Pie Rats Ahoy! (Step into Reading),Richard Scarry,English,B0971948,0,Kids,#N/A
382241,Demigods and Magicians,Rick Riordan,English,B0971275,6,Teen,#N/A
400029,For Magnus Chase: Hotel Valhalla Guide to the Norse Worlds,Rick Riordan,English,B0998635,4,Teen,#N/A
315861,Heroes of Olympus: The Demigod Diaries,Rick Riordan,English,B0971026,10,Teen,#N/A
315769,Kane Chronicles: The Throne of Fire,Rick Riordan,English,B0971257,5,Fiction,#N/A
402760,Magnus Chase and the Hammer of Thor (Magnus Chase Book 2),Rick Riordan,English,B0997595,13,Teen,#N/A
343741,Percy Jackson and the Battle of the Labyrinth,Rick Riordan,English,B0971251,11,Teen,#N/A
343741,Percy Jackson and the Battle of the Labyrinth,Rick Riordan,English,B0977831,3,Teen,#N/A
340058,Percy Jackson and the Sea of Monsters,Rick Riordan,English,B0971269,17,Teen,#N/A
420980,The Dark Prophecy (The Trials of Apollo Book 2),Rick Riordan,English,B01026533,11,Teen,#N/A
383302,The Hidden Oracle: The Trials of Apollo (Book 1),Rick Riordan,English,B01018296,14,Teen,#N/A
216148,The Maze Of Bones [With 6 Game Cards],Rick Riordan,English,B0971670,12,Teen,#N/A
333504,The Serpent's Shadow,Rick Riordan,English,B0971276,5,Fiction,#N/A
365974,Percy Jackson and the Greek Gods,Rick Riordan ,English,B01018350,9,Teen,#N/A
368874,The Blood of Olympus (Heroes of Olympus Book 5),Rick Riordan ,English,B0971254,10,Teen,#N/A
358358,The House of Hades (Heroes of Olympus) (English)        (Paperback),Rick Riordan ,English,B0971255,7,Teen,#N/A
370433,The Sword of Summer : Magnus Chase and The Gods of Asgard Book 1 (,Rick Riordan,English,B0971283,12,Teen,#N/A
374307,Alfred Kropp: The Seal of Solomon,Rick Yancey,English,B0971203,0,Teen,#N/A
374308,Alfred Kropp: The Thirteenth Skull,Rick Yancey,English,B0971202,0,Teen,#N/A
374305,The Extraordinary Adventures of Alfred Kropp,Rick Yancey,English,B0971657,1,Teen,#N/A
343740,Percy Jackson (3) : The Titan's Curse,"Rick, Riordan",English,B0977293,11,Pre Teen,#N/A
343740,Percy Jackson (3) : The Titan's Curse,"Rick, Riordan",English,B0971273,10,Teen,#N/A
271387,HEROES OF OLYMPUS : THE LOST HERO,Riordan Rick,English,B0971260,14,Teen,#N/A
271385,PERCY JACKSON : THE DEMIGOD FILES - (FILM TIE IN),Riordan Rick,English,B0971330,8,Teen,#N/A
348767,Heroes of Olympus : Mark of Athena,"Riordan, Rick",English,B01018287,10,Teen,#N/A
348370,Heroes of Olympus: The Son of Neptune,"Riordan, Rick",English,B01085847,1,Teen,#N/A
348370,Heroes of Olympus: The Son of Neptune,"Riordan, Rick",English,B0971256,10,Teen,#N/A
202896,Kane Chronicles : The Red Pyramid,"Riordan, Rick",English,B0971287,7,Teen,#N/A
343999,Percy Jackson (1) : The Lightning Thief,"Riordan, Rick",English,B0971271,11,Teen,#N/A
192134,Percy Jackson (1) : The Lightning Thief,"Riordan, Rick",English,B0971277,11,Teen,#N/A
344698,Percy Jackson (5) : The last Olympian,"Riordan, Rick",English,B0971278,5,Teen,#N/A
344698,Percy Jackson (5) : The last Olympian,"Riordan, Rick",English,B0977700,9,Teen,#N/A
186777,MAHAVIRA (594),Rishabhdas Ranka,English,B0971998,1,Kids,#N/A
383486,Charli and the chocolate factory,Roald Dahl,English,B0971268,11,Pre Teen,#N/A
