TITLE_ID,TITLE,AUTHOR,BOOK_NO,TIMES_RENTED,ISBN,Category ,Price,Pub Year,Pages,Format
188670,PRINCE CASPIAN B format,"Lewis, C S",B0973555,2,978-8129141842,0,,,,
352830,The Monogram Murders,Sophie Hannah,B0970386,2,R9780008101244,0,,,,
221531,The Secret,Julie Garwood,B0970896,2,978-0671744212,0,,,,
383365,The Butterfly Club,Jacqueline Wilson,B0970437,2,R9780552569934,0,,,,
383364,Lily Alone,Jacqueline Wilson,B0970421,2,R9780440869252,0,,,,
188286,TIPPING POINT,Malcolm Gladwell,B0971354,2,R9780349113463,0,,,,
188228,DEVIL AND MISS PRYM,"Coelho, Paulo",B0973295,2,978-9707803084,0,,,,
188227,BY THE RIVER PIEDRA I SAT DOWN AND WEPT,"Coelho, Paulo",B0970346,2,R9788172235307,0,,,,
133578,Puffin Classics : Christmas Carol (REI),"Dickens, Charles",B0970458,2,R9780141324524,0,,,,
189448,WINNING,"Welch, Jack",B0971697,2,978-0007252640,0,,,,
193873,"Ranch, The","Steel, Danielle",B0971554,2,978-1568653235,0,,,,
8550,Johnny Angel,"Steel, Danielle",B0971535,2,R9780552148559,0,,,,
9045,My Feudal Lord,"Durrani, Tehmina",B0971473,2,R9780552142397,0,,,,
306895,"Oh, Mind Relax Please!",Swami Sukhabodhananda,B0973835,2,978-1418442712,0,,,,
347945,Portrait of a Spy,Daniel Silva,B0973352,2,#N/A,0,Fiction,,,
343697,The Secret - Daily Teachings,Rhonda Byrne,B01018188,2,978-1471130618,0,,,,
209877,Fun in Devlok: Saraswati's Secret River,"Pattanaik, Devdutt",B0970616,2,R9780143331964,0,,,,
153515,Puffin Classics : The Railway Children,"Nesbit, E. & Wilson, Jacquelin",B0971706,2,R9780141321608,0,,,,
243542,Indira Parthasarathy Nadagangal,Indira Parthasarathy,B0973739,2,#N/A,0,,,,
186798,ANDHAKA (712),Gayatri Madan Datt,B0972040,2,R9788184821321,0,,,,
380653,The Last Mile,David Baldacci,B0971201,2,R9781447201120,0,Fiction,,,
369067,Keeper,David Baldacci,B0971160,2,R9780330456548,0,Fiction,,,
342837,The Finisher,David Baldacci,B0971165,2,#N/A,0,Fiction,,,
342200,The Hit,David Baldacci,B0971599,2,R9781408850251,0,Fiction,,,
383960,Thereâs a Spiritual Solution to Every Problem,Wayne Dyer,B0973309,2,978-8174829146,0,,,,
186677,TALES OF NARADA (520),Onkar Nath Sharma,B0972000,2,R9788189999049,0,,,,
186637,TANAJI (682),Meena Talim,B0972005,2,R9788184821598,0,,,,
186802,JATAKA TALES - MONKEY STORIES (543),Meena Talim,B0972007,2,R9788184821635,0,,,,
186739,BIRBAL TO THE RESCUE (618),Meera Ugra,B0972003,2,R9788184820546,0,,,,
375642,The Golden Son,Shilpi Somaya Gowda,B0970379,2,R9789351776949,0,,,,
324936,Someone Like You,Nikita Singh And Durjoy Datta,B0971019,2,R9780143417699,0,,,,
382580,Mr. Chatterbox        (P),Roger Hargreaves,B0970506,2,R9781405274593,0,,,,
334831,The Great Gatsby,"Fitzgerald, F. Scott",B0971081,2,R9788172344566,0,,,,
343718,An Abundance of Katherines,"Green, John",B0971097,2,R9780141346090,0,,,,
369064,The Outsider,Frederick Forsyth  									,B0971522,2,R9780552172905,0,,,,
360548,The Kill List,Frederick Forsyth  									,B0971543,2,R9780552169486,0,,,,
360815,Mr. Men CSB 32 : Mr. Worry        (P),"Hargreaves  					,  					 Roger  									",B0970507,2,R9781405274784,0,,,,
360487,MOST AND MORE,T. T. Rangarajan  									,B0977849,2,978-8183222945,0,,,,
