TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Categoryï¿½,ISBN
293578,Hidden Treasure,Rabindranath Tagore,English,B0971793,0,Kids,978-8171678518
366203,Dork Diaries Party Time,Rachael Renee Russell,English,B0971220,10,Pre Teen,#N/A
352963,DORK DIARIES (English),Rachel Renee Russell,English,B0970906,5,Pre Teen,#N/A
352964,DORK DIARIES DEAR DORK (English),Rachel Renee Russell,English,B0970926,10,Pre Teen,#N/A
371330,Dork Diaries: Puppy Love,Rachel Renee Russell,English,B0971230,11,Pre Teen,978-1471144585
385121,Dork Diaries: Skating Sensation,Rachel Renee Russell,English,B01085804,1,Pre Teen,978-1471144752
352961,HOW TO DORK YOUR DIARY (English),Rachel Renee Russell,English,B0971208,1,Pre Teen,978-0857073525
386319,The Misadventures of Max Crumbly,Rachel Renee Russell,English,B0980539,3,Pre Teen,978-1471144622
217729,Corporate Chanakya : Successful Management The Chanakya Ways,Radhakrishnan Pillai,English,B01085805,0,Indian Writing,#N/A
382501,If You're So Smart Why Aren't You Happy,Raghunathan Raj,English,B0970381,0,Self Help,#N/A
377726,Carry On,Rainbow Rowell,English,B0973284,2,Fiction,#N/A
271463,Vol 55 jungle boy,Raj Viswanadha,English,B0972938,5,Fiction,978-8129141842
271462,Vol 56 magic puppets,Raj Viswanadha,English,B0972957,3,Kids,#N/A
271459,Vol 59 talking teddy,Raj Viswanadha,English,B0972934,8,Kids,#N/A
271458,Vol 60 sea world,Raj Viswanadha,English,B0972933,8,Kids,978-3639210873
370595,Suppandi 4: Tickling the Funny Bone,Rajani Thindiath,English,B01085806,3,Comics,978-9350855522
363484,Shikari Shambu - The Wild Card,Rajani Thindiath ,English,B0972030,8,Comics,978-4550069960
366189,Suppandi - 3,Rajani Thindiath ,English,B01085890,4,Comics,#N/A
365789,Tantri the Mantri - The Dream Team,Rajani Thindiath ,English,B01085584,0,Comics,978-9350855829
365789,Tantri the Mantri - The Dream Team,Rajani Thindiath ,English,B01085808,0,Comics,978-9350852002
363486,Tantri the Mantri Royal Wicked,Rajani Thindiath ,English,B0972031,13,Comics,979-8172235634
366186,The Ire of a Vampire : A Collection of Billy's Escapades from the House of Tinkle (English)        (Paperback),Rajani Thindiath ,English,B01085889,2,Comics,978-9350098455
114959,PHANTOMS IN THE BRAIN,"Ramachandran, V. S.",English,B0970626,2,Science,978-0007253890
196141,CONNECT THE DOTS,Rashmi Bansal,English,B01018179,0,Management,978-8193182178
334714,Connect the Dots,Rashmi Bansal,English,B0972075,3,Management,978-8193182178
383935,Connect The Dots - Tamil,Rashmi Bansal,English,B0973819,0,Management,978-9385152405
383934,FOLLOW EVERY RAINBOW - TAMIL,Rashmi Bansal,English,B0973821,0,Management,978-9350337318
412920,GOD'S OWN KITCHEN,Rashmi Bansal,English,B01085845,0,Indian Writing,978-9385724848
196140,STAY HUNGRY STAY FOOLISH,Rashmi Bansal,English,B01018191,2,Management,#N/A
334715,Stay Hungry Stay Foolish,Rashmi Bansal,English,B0972078,1,Management,978-8190453011
384001,Stay Hungry Stay Foolish - Tamil,Rashmi Bansal,English,B0973473,0,Management,978-9385152399
360381,"Arise, Awake : The Inspiring Stories of 10 Young Entrepreneurs Who Graduated from College into a Business of Their Own",Rashmi Bansal ,English,B0972077,0,Management,978-9385724350
247297,Corn Aplenty (Step 1),"Rau, Dana Meachen",English,B0971973,2,Kids,978-0375855757
336671,BANKERUPT,Ravi Subramanian,English,B0971060,3,Indian Writing,978-0143421382
423883,In The Name of God,Ravi Subramanian,English,B01085846,0,Indian Writing,978-0143425731
328512,I Too Had A Love Story,Ravinder Singh,English,B0971015,3,Indian Writing,#N/A
332328,Like It Happened Yesterday,Ravinder Singh,English,B0971059,4,Indian Writing,#N/A
367081,Tell Me a Story,Ravinder Singh,English,B0971101,2,Indian Writing,978-0143423010
357344,Your Dreams are Mine Now,Ravinder Singh,English,B0971112,2,Indian Writing,978-0143423003
322402,Love Stories That Touched My Heart,Ravinder Singh (Ed.),English,B0971055,4,Indian Writing,#N/A
412934,What Your Doctor Doesn't Know About Nutrituion Medicine May be Killing You,Ray D Strand,English,B01028111,2,Health & Fitness,#N/A
394177,A Woodland Wedding (Owl Diaries #3) Branches,Rebecca Elliott,English,B0982961,0,Kids,978-1338159059
363519,Owl Diaries - Eva's Treetop Festival (Branches),Rebecca Elliott ,English,B0970936,1,Kids,978-1338144314
368954,Peppa Goes on Holiday,Rebecca Gerlings,English,B0970517,8,Kids,978-0241371671
368947,Peppa Pig: Shapes,Rebecca Gerlings,English,B0970537,2,Kids,978-0723297802
367139,Money Smart: The Indian Woman's Guide to Managing Wealth,Reenita Malhotra Divya Vij ,English,B0973563,3,Management,978-9350098882
202543,THE FIVE GREATEST WARRIORS,"Reilly, Matthew",English,B0973044,0,Fiction,978-1409110934
343508,Dork Diaries OMG ! : All About Me Diary,"Renee Russell, Rachel",English,B0970909,2,Pre Teen,978-1471162060
194450,"POWER, THE (UK)",Rhonda Byrne,English,B0973325,3,Spritual,#N/A
290254,The Magic,Rhonda Byrne,English,B0973840,7,Spritual,#N/A
194451,THE SECRET,Rhonda Byrne,English,B0970912,8,Spritual,978-1847370297
343697,The Secret - Daily Teachings,Rhonda Byrne,English,B01018188,2,Spritual,#N/A
450840,Magnus Chase and the Ship of the Dead,Rich Riordan,English,B01085848,2,Teen,#N/A
366205,The God Delusion,Richard Dawkins ,English,B0971519,0,Spritual,#N/A
383500,Best Lowly Worm Book Ever,Richard Scarry,English,B0972177,2,Kids,#N/A
376004,Richard Scarry's Pie Rats Ahoy! (Step into Reading),Richard Scarry,English,B0971948,0,Kids,#N/A
382241,Demigods and Magicians,Rick Riordan,English,B0971275,6,Teen,#N/A
400029,For Magnus Chase: Hotel Valhalla Guide to the Norse Worlds,Rick Riordan,English,B0998635,4,Teen,#N/A
315861,Heroes of Olympus: The Demigod Diaries,Rick Riordan,English,B0971026,10,Teen,#N/A
315769,Kane Chronicles: The Throne of Fire,Rick Riordan,English,B0971257,5,Fiction,#N/A
